iter	Logloss
0	0.4657364475
1	0.346622318
2	0.2410279254
3	0.1720415864
4	0.127128465
5	0.09744201991
6	0.07580363461
7	0.06241331484
8	0.05303036091
9	0.04633673714
10	0.04148156258
11	0.0379056781
12	0.03494888544
13	0.03292241402
14	0.0305554762
15	0.0292623633
16	0.02819503372
17	0.02738396729
18	0.02669891108
19	0.02504577076
20	0.02374982733
21	0.02235678282
22	0.02104312099
23	0.02036744397
24	0.01932144522
25	0.01909890656
26	0.0181553633
27	0.01723196446
28	0.01701119424
29	0.01628536028
30	0.01615788141
31	0.01605139467
32	0.01528578818
33	0.0147120288
34	0.01412367236
35	0.01405352578
36	0.01348353293
37	0.01298630141
38	0.01259419326
39	0.01252993832
40	0.01216451157
41	0.01178774895
42	0.01143642798
43	0.01136761798
44	0.0110869179
45	0.0108081843
46	0.01059501066
47	0.01053132563
48	0.01028141875
49	0.01008766627
50	0.009899968101
51	0.009718986389
52	0.009563010493
53	0.009433612959
54	0.009287137178
55	0.009198730213
56	0.009094497999
57	0.00902182373
58	0.008919011038
59	0.008856322097
60	0.008804327164
61	0.008713949352
62	0.008668621618
63	0.008584705002
64	0.008519091817
65	0.008452045351
66	0.008374167784
67	0.008328126323
68	0.00832810838
69	0.008251719934
70	0.008199602311
71	0.008199443476
72	0.008199405416
73	0.008199246723
74	0.008139348885
75	0.008080683051
76	0.008034770873
77	0.007983126416
78	0.007932349375
79	0.007893460709
80	0.007853493906
81	0.007853472857
82	0.007817501578
83	0.007787703564
84	0.007754387633
85	0.007724488777
86	0.007694976796
87	0.007668333437
88	0.007643060692
89	0.007617440708
90	0.007593500719
91	0.007570339625
92	0.007565014743
93	0.007558896399
94	0.007558856249
95	0.007539433898
96	0.007525721853
97	0.007517993487
98	0.007517962995
99	0.007517955373
100	0.007513496209
101	0.007513375813
102	0.007513375813
103	0.007513028663
104	0.007512967812
105	0.007512895627
106	0.007512834799
107	0.007512834799
108	0.007512773982
109	0.007512764964
110	0.007510496412
111	0.007504211327
112	0.007503973977
113	0.007503938683
114	0.00750382142
115	0.007503814003
116	0.007503778724
117	0.007503423259
118	0.007503388015
119	0.007490700025
120	0.007490691451
121	0.007490682877
122	0.007490675772
123	0.007490647007
124	0.007490639816
125	0.007490631244
126	0.007490622671
127	0.00749059391
128	0.00749058672
129	0.00749057953
130	0.007490570959
131	0.007490542202
132	0.007490513447
133	0.007490484694
134	0.007490477507
135	0.007490470319
136	0.00749044157
137	0.007490407296
138	0.007490398729
139	0.007490390161
140	0.007490381594
141	0.007490352851
142	0.007490345666
143	0.007490316926
144	0.007490288188
145	0.007490259453
146	0.007490250888
147	0.007490222156
148	0.007490193425
149	0.007490186243
150	0.007490157516
151	0.007490128791
152	0.007490120229
153	0.007490111667
154	0.007490104487
155	0.007490075765
156	0.007490067205
157	0.007490058644
158	0.007490050084
159	0.007490021367
160	0.007489992652
161	0.007489984093
162	0.007489966975
163	0.007489938264
164	0.007489909556
165	0.00748988085
166	0.007489872293
167	0.007489863737
168	0.00748985518
169	0.007489846624
170	0.007489838068
171	0.007483840482
172	0.007483840482
173	0.007483727397
174	0.007481425626
175	0.007478106403
176	0.007474813735
177	0.007474758471
178	0.007474730843
179	0.007474675591
180	0.007474675591
181	0.007474675591
182	0.007474659067
183	0.007474631446
184	0.007474603826
185	0.007473284801
186	0.007473284801
187	0.007473257275
188	0.007472789648
189	0.007472569894
190	0.007472514942
191	0.007472459998
192	0.007472405061
193	0.007472350132
194	0.007472295211
195	0.007472240297
196	0.007472223866
197	0.007472168962
198	0.007468178078
199	0.007467960757
200	0.007467944481
201	0.007467928205
202	0.007467602517
203	0.007467586253
204	0.00746756999
205	0.007467461411
206	0.007467407135
207	0.007467352865
208	0.007467336611
209	0.007467320357
210	0.007467304104
211	0.007467249848
212	0.007467195599
213	0.00746717935
214	0.00746712511
215	0.007467070878
216	0.007467054634
217	0.00746700041
218	0.007466946194
219	0.007466891986
220	0.007466837784
221	0.00746678359
222	0.007466729402
223	0.007466675223
224	0.007466658993
225	0.007466604822
226	0.007466550659
227	0.007466534434
228	0.007466518209
229	0.007466501986
230	0.007466485762
231	0.007466431614
232	0.007466377473
233	0.007466323339
234	0.007466269212
235	0.007466215092
236	0.00746616098
237	0.007466106875
238	0.007466052777
239	0.007465998686
240	0.007465944602
241	0.007465890526
242	0.007465836456
243	0.007465782394
244	0.007465728339
245	0.007465712144
246	0.007465658098
247	0.007465388082
248	0.007465334079
249	0.007465317898
250	0.007465301718
251	0.007465247726
252	0.007465231548
253	0.00746510214
254	0.007465048172
255	0.007464994212
256	0.007464864873
257	0.007464810935
258	0.007464757005
259	0.007464740845
260	0.007464686923
261	0.007464633009
262	0.007464579102
263	0.007464562948
264	0.007464546795
265	0.007464492899
266	0.00746443901
267	0.007464385127
268	0.007464368981
269	0.007464352835
270	0.007464298964
271	0.007464282821
272	0.007464266678
273	0.007464250536
274	0.007464196677
275	0.007464142826
276	0.007464088981
277	0.007464035144
278	0.007464035144
279	0.007464035144
280	0.007464035144
281	0.007464035144
282	0.00746401901
283	0.007464005553
284	0.007463897903
285	0.007463881774
286	0.007463868321
287	0.007463852194
288	0.007463852194
289	0.007463852194
290	0.007463836066
291	0.00746381994
292	0.007463803814
293	0.007463803814
294	0.007463803814
295	0.007463787688
296	0.007463572652
297	0.007463572652
298	0.007463572652
299	0.007463572652
